weekday,year,month,day,event
none,2025,1,4,[トランプ政権開始]
none,2025,1,5,【ISM製造業景況指数:49.3】
none,2025,1,10,【米国雇用統計:25.6万人増;失業率:4.1%】
none,2025,1,13,[ダウ先物等全体下げ]
none,2025,1,14,[日経下げ（NVIDIA)]
none,2025,1,20,[トランプ大統領就任]
none,2025,1,28,FOMC-Meetings　
none,2025,1,29,FOMC-Meetings　
none,2025,3,18,FOMC-Meetings　
none,2025,3,19,FOMC-Meetings　
none,2025,5,6,FOMC-Meetings　
none,2025,5,7,FOMC-Meetings　
none,2025,6,17,FOMC-Meetings　
none,2025,6,18,FOMC-Meetings　
none,2025,7,29,FOMC-Meetings　
none,2025,7,30,FOMC-Meetings　
none,2025,9,16,FOMC-Meetings　
none,2025,9,17,FOMC-Meetings　
none,2025,10,28,FOMC-Meetings　
none,2025,10,29,FOMC-Meetings　
none,2025,12,9,FOMC-Meetings　
none,2025,12,10,FOMC-Meetings　
