weekday,year,month,day,event
none,2025,1,28,State Employment and Unemployment
none,2025,2,17,State Employment and Unemployment
none,2025,3,28,State Employment and Unemployment
none,2025,4,18,State Employment and Unemployment
none,2025,5,21,State Employment and Unemployment
none,2025,6,24,State Employment and Unemployment
none,2025,7,18,State Employment and Unemployment
none,2025,8,19,State Employment and Unemployment
none,2025,9,19,State Employment and Unemployment
none,2025,10,21,State Employment and Unemployment
none,2025,11,21,State Employment and Unemployment
none,2025,12,19,State Employment and Unemployment
